age,gender,region,plan_tier,payment_type,device_os,app_version_lag_weeks,support_ticket,satisfaction_survey,notification_opt_in,email_opened_last,app_crashes_30d,weeks_since_signup,home_charging_access,charging_sessions_12w,avg_kwh_per_session,peak_share,charger_fault_rate,avg_wait_minutes,refund_request_last12w,price_change_exposed,payment_failure_last4w,weeks_since_last_charge,user_ID,retained_binary
50,Female,Auckland,Pro,GooglePay,Android,1,NotLast3Months,2,FALSE,FALSE,3,4 weeks,TRUE,2,32.5 kWh,74%,3.50%,35 mins,FALSE,FALSE,FALSE,4 weeks,KC1000020,0
29,Female,Waikato,Basic,ApplePay,Android,1,Last3Months,NoResponse,FALSE,FALSE,0,5 weeks,FALSE,5,18.4 kWh,31%,4.10%,16 mins,FALSE,FALSE,FALSE,5 weeks,KC1000021,1
62,Male,Auckland,Pro,DebitCard,Android,3,Last3Months,4,FALSE,FALSE,1,10 weeks,TRUE,3,22.6 kWh,54%,7.70%,28 mins,FALSE,FALSE,FALSE,7 weeks,KC1000022,1
31,Female,Auckland,Fleet,ApplePay,Android,3,Last3Months,NoResponse,TRUE,TRUE,0,2 weeks,TRUE,9,26.9 kWh,60%,7.30%,36 mins,FALSE,TRUE,FALSE,2 weeks,KC1000023,1
39,Male,Auckland,Basic,ApplePay,Other,2,Last3Months,NoResponse,FALSE,TRUE,1,2 weeks,TRUE,2,22.1 kWh,30%,4.80%,24 mins,FALSE,TRUE,FALSE,2 weeks,KC1000024,1
34,Female,Malborough,Basic,CreditCard,Android,5,NotLast3Months,2,FALSE,FALSE,3,1 weeks,FALSE,3,19 kWh,36%,5%,32 mins,TRUE,TRUE,FALSE,1 weeks,KC1000025,0
42,Female,Auckland,Plus,DebitCard,iOS,1,NotLast3Months,NoResponse,TRUE,FALSE,2,7 weeks,TRUE,2,18.3 kWh,43%,3.70%,24 mins,FALSE,TRUE,FALSE,7 weeks,KC1000026,0
48,Female,Auckland,Basic,CreditCard,iOS,4,NotLast3Months,NoResponse,TRUE,TRUE,2,1 weeks,FALSE,1,21.1 kWh,29%,7%,32 mins,FALSE,TRUE,FALSE,1 weeks,KC1000027,1
57,Female,Canterbury,Plus,DebitCard,iOS,2,Last3Months,3,FALSE,TRUE,2,6 weeks,TRUE,2,23.1 kWh,30%,5.30%,15 mins,FALSE,FALSE,FALSE,6 weeks,KC1000028,1
37,Female,Auckland,Plus,CreditCard,iOS,2,NotLast3Months,3,TRUE,TRUE,1,0 weeks,TRUE,1,11.9 kWh,54%,1.60%,42 mins,FALSE,FALSE,TRUE,0 weeks,KC1000029,1
45,Female,Waikato,Basic,CreditCard,Android,2,NotLast3Months,1,FALSE,FALSE,2,8 weeks,TRUE,1,21.8 kWh,49%,8.40%,26 mins,FALSE,TRUE,FALSE,8 weeks,KC1000030,0
43,Male,Auckland,Basic,ApplePay,Android,5,YesThisMonth,NoResponse,FALSE,FALSE,1,1 weeks,TRUE,3,16.9 kWh,36%,4.10%,24 mins,FALSE,FALSE,FALSE,1 weeks,KC1000031,1
44,Prefer Not to Answer / Other / Unknown,Northland,Plus,GooglePay,iOS,2,NotLast3Months,5,FALSE,FALSE,1,3 weeks,TRUE,2,23.5 kWh,35%,3.90%,20 mins,FALSE,FALSE,FALSE,3 weeks,KC1000032,1
52,Female,Canterbury,Pro,CreditCard,Android,4,NotLast3Months,NoResponse,FALSE,FALSE,1,6 weeks,TRUE,4,17.7 kWh,59%,8.60%,32 mins,FALSE,FALSE,FALSE,6 weeks,KC1000033,1
58,Male,Auckland,Plus,GooglePay,iOS,2,NotLast3Months,1,FALSE,TRUE,3,8 weeks,FALSE,4,24.7 kWh,43%,5%,22 mins,TRUE,FALSE,FALSE,8 weeks,KC1000034,0
58,Male,Wellington,Plus,GooglePay,iOS,3,NotLast3Months,2,FALSE,FALSE,3,4 weeks,FALSE,4,25.4 kWh,42%,0%,17 mins,FALSE,TRUE,FALSE,4 weeks,KC1000035,0
35,Male,Waikato,Pro,GooglePay,Android,3,NotLast3Months,3,FALSE,FALSE,4,6 weeks,FALSE,2,25.3 kWh,52%,2.30%,26 mins,FALSE,FALSE,FALSE,6 weeks,KC1000036,1
60,Male,Auckland,Pro,ApplePay,iOS,0,NotLast3Months,1,TRUE,FALSE,1,2 weeks,TRUE,3,19.6 kWh,31%,5.90%,31 mins,FALSE,FALSE,FALSE,2 weeks,KC1000037,1
59,Male,Auckland,Basic,DebitCard,iOS,2,NotLast3Months,NoResponse,FALSE,FALSE,1,11 weeks,TRUE,3,23.5 kWh,33%,4.40%,21 mins,FALSE,FALSE,FALSE,8 weeks,KC1000038,0
48,Male,Wellington,Basic,CreditCard,Android,2,NotLast3Months,NoResponse,FALSE,TRUE,2,9 weeks,FALSE,4,11.7 kWh,30%,5.80%,27 mins,FALSE,TRUE,FALSE,5 weeks,KC1000039,1
66,Female,Tasman,Plus,ApplePay,iOS,1,Last3Months,NoResponse,FALSE,FALSE,1,11 weeks,FALSE,1,20.6 kWh,11%,12.80%,29 mins,FALSE,TRUE,FALSE,8 weeks,KC1000040,0
55,Female,Waikato,Plus,CreditCard,iOS,1,Last3Months,NoResponse,TRUE,TRUE,0,10 weeks,FALSE,2,26.2 kWh,33%,7.20%,26 mins,FALSE,FALSE,FALSE,7 weeks,KC1000041,1
54,Male,Auckland,Basic,CreditCard,Android,0,NotLast3Months,NoResponse,FALSE,FALSE,2,4 weeks,FALSE,3,11 kWh,35%,0%,18 mins,FALSE,TRUE,FALSE,2 weeks,KC1000042,1
28,Female,Southland,Plus,CreditCard,Android,1,NotLast3Months,1,FALSE,TRUE,1,4 weeks,TRUE,5,18.2 kWh,21%,10.60%,27 mins,FALSE,FALSE,FALSE,4 weeks,KC1000043,0
34,Female,Waikato,Basic,CreditCard,iOS,2,NotLast3Months,NoResponse,FALSE,FALSE,0,1 weeks,FALSE,2,19.3 kWh,44%,10.60%,29 mins,FALSE,FALSE,FALSE,1 weeks,KC1000044,1
45,Male,BayOfPlenty,Pro,CreditCard,iOS,1,NotLast3Months,NoResponse,FALSE,FALSE,0,5 weeks,TRUE,4,16.6 kWh,39%,3.80%,26 mins,FALSE,TRUE,FALSE,5 weeks,KC1000045,1
35,Male,Auckland,Plus,GooglePay,Other,2,NotLast3Months,2,FALSE,TRUE,0,3 weeks,TRUE,1,23.4 kWh,35%,0%,17 mins,FALSE,FALSE,FALSE,3 weeks,KC1000046,1
51,Male,Malborough,Basic,GooglePay,iOS,2,Last3Months,2,FALSE,TRUE,4,6 weeks,TRUE,5,12.6 kWh,30%,8%,20 mins,FALSE,FALSE,FALSE,6 weeks,KC1000047,0
57,Female,Canterbury,Basic,CreditCard,iOS,1,NotLast3Months,4,FALSE,TRUE,1,1 weeks,FALSE,3,16.7 kWh,30%,4.70%,21 mins,FALSE,FALSE,FALSE,1 weeks,KC1000048,1
33,Male,Auckland,Plus,DebitCard,Android,1,NotLast3Months,3,TRUE,TRUE,2,8 weeks,FALSE,5,16.5 kWh,41%,4.90%,33 mins,FALSE,FALSE,FALSE,6 weeks,KC1000049,1
79,Prefer Not to Answer / Other / Unknown,Auckland,Plus,ApplePay,Android,2,NotLast3Months,NoResponse,TRUE,TRUE,0,0 weeks,TRUE,1,22.9 kWh,60%,1.40%,21 mins,FALSE,FALSE,FALSE,0 weeks,KC1000050,1
31,Female,Otago,Plus,GooglePay,iOS,3,NotLast3Months,5,TRUE,FALSE,2,11 weeks,FALSE,4,29.7 kWh,32%,9.10%,30 mins,FALSE,FALSE,FALSE,3 weeks,KC1000051,1
61,Female,Auckland,Plus,CreditCard,Android,2,NotLast3Months,NoResponse,FALSE,FALSE,2,2 weeks,FALSE,3,28 kWh,67%,3.40%,24 mins,FALSE,FALSE,FALSE,2 weeks,KC1000052,1
40,Male,BayOfPlenty,Plus,CreditCard,iOS,0,NotLast3Months,4,FALSE,FALSE,0,3 weeks,FALSE,4,32.7 kWh,41%,5.60%,15 mins,FALSE,TRUE,FALSE,3 weeks,KC1000053,1
62,Female,Waikato,Plus,DebitCard,Android,2,NotLast3Months,NoResponse,FALSE,FALSE,3,0 weeks,TRUE,3,24.8 kWh,41%,8.90%,20 mins,FALSE,TRUE,FALSE,0 weeks,KC1000054,1
58,Female,Auckland,Basic,CreditCard,iOS,1,NotLast3Months,NoResponse,FALSE,TRUE,0,9 weeks,FALSE,4,23.4 kWh,46%,4.30%,28 mins,FALSE,TRUE,FALSE,9 weeks,KC1000055,1
68,Prefer Not to Answer / Other / Unknown,Auckland,Basic,DebitCard,iOS,2,NotLast3Months,NoResponse,FALSE,TRUE,0,11 weeks,FALSE,3,24.1 kWh,58%,3.90%,37 mins,TRUE,FALSE,FALSE,8 weeks,KC1000056,1
30,Male,Auckland,Basic,CreditCard,iOS,2,Last3Months,5,FALSE,TRUE,2,11 weeks,TRUE,3,16.4 kWh,40%,4%,18 mins,FALSE,FALSE,FALSE,10 weeks,KC1000057,0
34,Prefer Not to Answer / Other / Unknown,Otago,Basic,GooglePay,Android,2,NotLast3Months,5,TRUE,FALSE,3,2 weeks,FALSE,1,16.1 kWh,11%,5.50%,29 mins,FALSE,FALSE,FALSE,2 weeks,KC1000058,1
30,Male,Auckland,Basic,DebitCard,Android,0,YesThisMonth,NoResponse,TRUE,TRUE,0,0 weeks,TRUE,2,12.2 kWh,53%,3.20%,26 mins,FALSE,FALSE,FALSE,0 weeks,KC1000059,1
38,Female,Canterbury,Basic,GooglePay,Android,0,NotLast3Months,NoResponse,FALSE,TRUE,1,5 weeks,FALSE,3,21.4 kWh,34%,7.60%,26 mins,FALSE,TRUE,FALSE,5 weeks,KC1000060,1
50,Male,Auckland,Plus,DebitCard,iOS,1,NotLast3Months,2,TRUE,TRUE,0,10 weeks,FALSE,7,20.3 kWh,48%,1.90%,27 mins,TRUE,FALSE,FALSE,9 weeks,KC1000061,1
51,Male,Wellington,Basic,DebitCard,iOS,0,NotLast3Months,NoResponse,TRUE,TRUE,0,3 weeks,FALSE,1,22.5 kWh,42%,8.70%,33 mins,FALSE,FALSE,FALSE,3 weeks,KC1000062,1
55,Male,Auckland,Basic,CreditCard,Android,0,NotLast3Months,2,FALSE,FALSE,0,1 weeks,TRUE,1,20.5 kWh,31%,2.60%,22 mins,TRUE,TRUE,FALSE,1 weeks,KC1000063,1
45,Male,ManawhatuWhanganui,Pro,GooglePay,Android,1,NotLast3Months,1,FALSE,TRUE,1,5 weeks,TRUE,3,20.2 kWh,49%,4.30%,27 mins,FALSE,TRUE,FALSE,5 weeks,KC1000064,0
35,Male,Taranaki,Basic,DebitCard,Android,3,NotLast3Months,2,FALSE,FALSE,0,2 weeks,FALSE,1,17.8 kWh,36%,0%,10 mins,FALSE,FALSE,FALSE,2 weeks,KC1000065,1
46,Male,HawkesBay,Pro,DebitCard,Android,5,NotLast3Months,4,TRUE,FALSE,3,4 weeks,TRUE,3,20 kWh,40%,7.70%,25 mins,FALSE,TRUE,FALSE,4 weeks,KC1000066,1
31,Female,Wellington,Basic,ApplePay,Android,3,NotLast3Months,NoResponse,FALSE,FALSE,1,5 weeks,FALSE,2,19.7 kWh,36%,2.50%,19 mins,FALSE,FALSE,FALSE,2 weeks,KC1000067,1
56,Prefer Not to Answer / Other / Unknown,Auckland,Basic,GooglePay,iOS,2,NotLast3Months,NoResponse,TRUE,FALSE,2,0 weeks,TRUE,2,24.2 kWh,30%,8.70%,48 mins,FALSE,FALSE,FALSE,0 weeks,KC1000068,1
49,Male,Canterbury,Plus,ApplePay,Android,2,Last3Months,NoResponse,FALSE,FALSE,1,8 weeks,FALSE,3,16.2 kWh,27%,5.70%,32 mins,FALSE,FALSE,FALSE,8 weeks,KC1000069,0
41,Prefer Not to Answer / Other / Unknown,Otago,Pro,GooglePay,iOS,2,Last3Months,1,TRUE,TRUE,0,4 weeks,FALSE,3,26.4 kWh,47%,5.90%,27 mins,FALSE,TRUE,FALSE,4 weeks,KC1000070,1
45,Male,Malborough,Basic,CreditCard,iOS,1,NotLast3Months,NoResponse,FALSE,FALSE,0,6 weeks,TRUE,1,11.6 kWh,45%,6.60%,4 mins,FALSE,FALSE,FALSE,6 weeks,KC1000071,1
28,Female,Auckland,Basic,DebitCard,Android,5,Last3Months,4,TRUE,FALSE,3,1 weeks,FALSE,3,21.5 kWh,79%,0%,19 mins,FALSE,FALSE,FALSE,1 weeks,KC1000072,1
36,Male,Auckland,Pro,CreditCard,Android,2,NotLast3Months,2,FALSE,FALSE,2,5 weeks,FALSE,2,22.2 kWh,33%,5.70%,28 mins,FALSE,FALSE,FALSE,5 weeks,KC1000073,0
57,Female,ManawhatuWhanganui,Basic,GooglePay,Android,2,NotLast3Months,NoResponse,TRUE,FALSE,2,10 weeks,FALSE,2,19.1 kWh,52%,3.20%,18 mins,FALSE,FALSE,FALSE,10 weeks,KC1000074,0
20,Male,Auckland,Basic,GooglePay,Android,0,Last3Months,NoResponse,TRUE,FALSE,0,7 weeks,TRUE,1,20.2 kWh,47%,1.40%,28 mins,FALSE,FALSE,FALSE,7 weeks,KC1000075,0
40,Female,Waikato,Basic,DebitCard,iOS,1,NotLast3Months,NoResponse,TRUE,FALSE,0,9 weeks,TRUE,5,18.3 kWh,31%,10.60%,28 mins,FALSE,FALSE,FALSE,9 weeks,KC1000076,0
44,Prefer Not to Answer / Other / Unknown,Wellington,Basic,CreditCard,Android,1,Last3Months,NoResponse,TRUE,TRUE,0,11 weeks,FALSE,2,18.5 kWh,51%,4.10%,24 mins,FALSE,FALSE,FALSE,11 weeks,KC1000077,0
62,Female,Canterbury,Plus,CreditCard,iOS,1,NotLast3Months,3,TRUE,FALSE,0,8 weeks,FALSE,4,23 kWh,41%,4.30%,38 mins,FALSE,FALSE,FALSE,7 weeks,KC1000078,0
61,Female,Canterbury,Plus,DebitCard,Android,3,Last3Months,NoResponse,FALSE,FALSE,3,2 weeks,FALSE,2,26.9 kWh,34%,9.60%,21 mins,FALSE,FALSE,FALSE,2 weeks,KC1000079,1
31,Male,Otago,Plus,GooglePay,iOS,3,NotLast3Months,4,FALSE,TRUE,0,3 weeks,TRUE,4,18.4 kWh,15%,8.40%,12 mins,FALSE,FALSE,TRUE,1 weeks,KC1000080,1
50,Female,Canterbury,Plus,DebitCard,iOS,1,NotLast3Months,NoResponse,FALSE,FALSE,3,11 weeks,TRUE,2,19.3 kWh,39%,3.50%,25 mins,TRUE,FALSE,FALSE,6 weeks,KC1000081,0
27,Male,Canterbury,Plus,ApplePay,Android,1,Last3Months,NoResponse,FALSE,TRUE,0,1 weeks,TRUE,4,17.7 kWh,32%,0.80%,11 mins,FALSE,FALSE,FALSE,1 weeks,KC1000082,1
53,Male,Canterbury,Plus,GooglePay,iOS,1,Last3Months,4,TRUE,FALSE,0,2 weeks,TRUE,2,11.5 kWh,36%,0%,8 mins,FALSE,TRUE,FALSE,2 weeks,KC1000083,1
25,Male,Auckland,Basic,GooglePay,Android,3,Last3Months,4,TRUE,FALSE,1,9 weeks,TRUE,1,21.9 kWh,31%,6.90%,16 mins,TRUE,FALSE,FALSE,6 weeks,KC1000084,0
27,Male,BayOfPlenty,Plus,ApplePay,Android,1,NotLast3Months,NoResponse,FALSE,TRUE,0,9 weeks,FALSE,5,20.6 kWh,61%,10.30%,36 mins,FALSE,FALSE,FALSE,5 weeks,KC1000085,1
41,Male,Waikato,Basic,GooglePay,iOS,3,NotLast3Months,3,TRUE,TRUE,2,6 weeks,TRUE,5,17.9 kWh,51%,7.80%,35 mins,FALSE,FALSE,TRUE,6 weeks,KC1000086,0
38,Male,ManawhatuWhanganui,Pro,ApplePay,Android,3,NotLast3Months,NoResponse,TRUE,FALSE,1,8 weeks,FALSE,4,27.9 kWh,29%,4.30%,25 mins,FALSE,FALSE,FALSE,6 weeks,KC1000087,1
37,Female,Otago,Basic,DebitCard,Other,2,NotLast3Months,5,FALSE,FALSE,3,2 weeks,FALSE,2,19.1 kWh,33%,16%,27 mins,TRUE,FALSE,FALSE,2 weeks,KC1000088,1
30,Female,Auckland,Plus,CreditCard,iOS,1,NotLast3Months,NoResponse,FALSE,FALSE,0,3 weeks,FALSE,3,20 kWh,21%,6.80%,18 mins,FALSE,TRUE,FALSE,3 weeks,KC1000089,1
26,Male,Auckland,Pro,CreditCard,Android,0,NotLast3Months,NoResponse,FALSE,FALSE,2,2 weeks,FALSE,3,25.2 kWh,50%,3.60%,27 mins,FALSE,TRUE,TRUE,2 weeks,KC1000090,1
61,Female,Waikato,Basic,GooglePay,iOS,1,Last3Months,2,FALSE,TRUE,0,1 weeks,TRUE,2,24.2 kWh,27%,0%,19 mins,FALSE,TRUE,FALSE,1 weeks,KC1000091,1
56,Male,Auckland,Basic,CreditCard,iOS,1,Last3Months,1,TRUE,TRUE,0,4 weeks,TRUE,2,18.4 kWh,34%,3.50%,21 mins,FALSE,TRUE,FALSE,4 weeks,KC1000092,1
57,Prefer Not to Answer / Other / Unknown,Canterbury,Pro,ApplePay,Other,2,Last3Months,1,FALSE,FALSE,0,11 weeks,TRUE,5,30.6 kWh,53%,6%,26 mins,FALSE,FALSE,FALSE,10 weeks,KC1000093,0
67,Male,Auckland,Pro,ApplePay,iOS,2,NotLast3Months,4,TRUE,FALSE,3,0 weeks,FALSE,3,24.2 kWh,47%,5.30%,29 mins,TRUE,FALSE,FALSE,0 weeks,KC1000094,1
39,Male,Auckland,Plus,CreditCard,iOS,1,NotLast3Months,2,FALSE,TRUE,0,11 weeks,FALSE,4,13 kWh,35%,2.60%,13 mins,FALSE,FALSE,FALSE,5 weeks,KC1000095,1
41,Male,Auckland,Pro,CreditCard,iOS,1,NotLast3Months,NoResponse,FALSE,FALSE,0,7 weeks,FALSE,3,22.9 kWh,43%,5.30%,34 mins,FALSE,FALSE,FALSE,7 weeks,KC1000096,1
52,Male,BayOfPlenty,Basic,DebitCard,iOS,1,NotLast3Months,NoResponse,TRUE,FALSE,2,5 weeks,TRUE,2,17.3 kWh,39%,6.60%,27 mins,TRUE,TRUE,FALSE,5 weeks,KC1000097,0
48,Prefer Not to Answer / Other / Unknown,Auckland,Basic,CreditCard,Android,0,NotLast3Months,2,TRUE,TRUE,2,12 weeks,FALSE,3,17.1 kWh,31%,6.70%,31 mins,TRUE,TRUE,FALSE,8 weeks,KC1000098,0
51,Male,Otago,Basic,CreditCard,iOS,0,NotLast3Months,NoResponse,TRUE,FALSE,0,10 weeks,FALSE,2,21.8 kWh,43%,0%,15 mins,FALSE,FALSE,FALSE,8 weeks,KC1000099,0
53,Male,Canterbury,Basic,ApplePay,iOS,0,NotLast3Months,2,FALSE,FALSE,0,9 weeks,FALSE,4,19.1 kWh,32%,4.60%,21 mins,TRUE,FALSE,FALSE,6 weeks,KC1000100,0
29,Female,Auckland,Basic,ApplePay,iOS,1,Last3Months,2,FALSE,FALSE,0,6 weeks,FALSE,4,16.1 kWh,34%,5.40%,29 mins,FALSE,FALSE,FALSE,6 weeks,KC1000101,0
32,Prefer Not to Answer / Other / Unknown,Tasman,Basic,GooglePay,Android,3,YesThisMonth,NoResponse,FALSE,FALSE,1,5 weeks,FALSE,1,20.4 kWh,61%,7.20%,27 mins,FALSE,TRUE,FALSE,5 weeks,KC1000102,0
54,Female,Auckland,Plus,ApplePay,iOS,1,NotLast3Months,NoResponse,FALSE,FALSE,1,4 weeks,TRUE,2,24.7 kWh,29%,0%,14 mins,TRUE,FALSE,FALSE,4 weeks,KC1000103,1
44,Female,Northland,Plus,DebitCard,Android,2,NotLast3Months,NoResponse,FALSE,FALSE,1,1 weeks,FALSE,4,22 kWh,45%,5.80%,20 mins,FALSE,TRUE,FALSE,1 weeks,KC1000104,1
39,Female,Waikato,Basic,CreditCard,iOS,1,Last3Months,NoResponse,FALSE,FALSE,1,4 weeks,FALSE,2,17.1 kWh,53%,7.20%,25 mins,FALSE,FALSE,FALSE,4 weeks,KC1000105,1
36,Male,Waikato,Basic,DebitCard,Android,5,YesThisMonth,2,FALSE,TRUE,4,1 weeks,FALSE,4,18.7 kWh,25%,9.40%,18 mins,FALSE,TRUE,FALSE,1 weeks,KC1000106,1
49,Female,Auckland,Basic,GooglePay,iOS,1,Last3Months,NoResponse,FALSE,FALSE,0,7 weeks,TRUE,2,18.1 kWh,56%,4.60%,36 mins,FALSE,FALSE,FALSE,7 weeks,KC1000107,0
45,Prefer Not to Answer / Other / Unknown,Otago,Basic,DebitCard,Other,3,NotLast3Months,2,TRUE,FALSE,2,12 weeks,TRUE,2,18.9 kWh,9%,4.90%,28 mins,FALSE,FALSE,FALSE,9 weeks,KC1000108,0
54,Female,BayOfPlenty,Plus,CreditCard,iOS,4,NotLast3Months,3,FALSE,TRUE,1,8 weeks,FALSE,4,25 kWh,35%,4.40%,13 mins,TRUE,FALSE,FALSE,8 weeks,KC1000109,1
48,Female,Auckland,Basic,DebitCard,iOS,1,NotLast3Months,3,FALSE,FALSE,2,8 weeks,FALSE,4,19.6 kWh,69%,7.80%,38 mins,FALSE,TRUE,FALSE,5 weeks,KC1000110,1
45,Female,Auckland,Basic,CreditCard,Android,3,Last3Months,NoResponse,TRUE,TRUE,2,5 weeks,FALSE,4,16.6 kWh,45%,0%,21 mins,FALSE,FALSE,FALSE,2 weeks,KC1000111,1
37,Female,Auckland,Basic,ApplePay,iOS,2,NotLast3Months,3,FALSE,TRUE,0,10 weeks,FALSE,1,26.3 kWh,54%,0.90%,23 mins,FALSE,TRUE,FALSE,4 weeks,KC1000112,1
41,Female,Northland,Pro,ApplePay,iOS,6,Last3Months,2,TRUE,FALSE,4,7 weeks,TRUE,3,26 kWh,37%,2.90%,20 mins,FALSE,FALSE,FALSE,5 weeks,KC1000113,1
46,Female,Canterbury,Pro,GooglePay,Android,4,NotLast3Months,4,TRUE,TRUE,3,1 weeks,FALSE,4,30.6 kWh,34%,2.30%,24 mins,FALSE,FALSE,FALSE,1 weeks,KC1000114,1
34,Female,Waikato,Basic,ApplePay,iOS,5,NotLast3Months,NoResponse,FALSE,FALSE,2,6 weeks,FALSE,2,29.1 kWh,40%,4.20%,14 mins,FALSE,TRUE,FALSE,6 weeks,KC1000115,1
31,Male,ManawhatuWhanganui,Plus,ApplePay,iOS,2,Last3Months,3,FALSE,FALSE,3,9 weeks,FALSE,2,17.7 kWh,39%,5.30%,11 mins,FALSE,TRUE,FALSE,8 weeks,KC1000116,0
35,Male,ManawhatuWhanganui,Plus,GooglePay,iOS,1,Last3Months,4,FALSE,FALSE,1,9 weeks,FALSE,3,29.1 kWh,53%,6.10%,22 mins,FALSE,TRUE,TRUE,4 weeks,KC1000117,1
45,Male,Northland,Pro,GooglePay,Android,2,NotLast3Months,NoResponse,FALSE,FALSE,2,7 weeks,FALSE,1,18.5 kWh,46%,1.90%,21 mins,FALSE,FALSE,FALSE,7 weeks,KC1000118,1
41,Male,Auckland,Basic,DebitCard,iOS,3,NotLast3Months,3,TRUE,FALSE,1,6 weeks,TRUE,1,24 kWh,51%,4.60%,26 mins,FALSE,TRUE,FALSE,6 weeks,KC1000119,0
